Nom de projet,A7530,,
Epaisseur edge mm,0,,
,,,
Graver le nom,0,,
nom,#,x,y
1,2      ,14   7/16 ,36   3/8  
2,1      ,34   3/8  ,16   3/8  
3,2      ,17   3/16 ,36   3/8  
4,2      ,13   3/8  ,32        
5,2      ,29   7/16 ,18   5/8  
6,1      ,21  13/16 ,29   1/8  
7,2      ,14  15/16 ,18   7/8  
8,4      ,31   5/8  ,10  11/16 
9,2      ,34   3/8  ,10  11/16 
10,2      ,35  15/16 ,10  11/16 
11,2      ,28   7/16 ,10  11/16 
12,1      ,22   7/16 ,10  11/16 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
