Nom de projet,A7608,,
Epaisseur edge mm,0,,
,,,
Graver le nom,0,,
nom,#,x,y
1,2      ,28   1/16 ,3        
2,1      ,27  11/16 ,3        
3,1      ,6   7/8  ,32   1/16 
4,1      ,6   7/8  ,29   1/16 
5,1      ,6   7/8  ,23        
6,1      ,6   7/8  ,24   7/8  
7,1      ,6   7/8  ,11   3/8  
8,1      ,6   7/8  ,14   7/16 
9,1      ,6   7/8  ,11   5/16 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
